condition,seed,method,MAE,KL,n,m_sources
heavy_bias,11,corr_cluster,0.1383551029589814,1.2577044896393694,6830,5
heavy_bias,11,sugeno,0.14879329639362052,1.1428257055421869,6830,5
heavy_bias,23,Choquet(ours),0.13659985250497653,1.155882382431496,6861,5
heavy_bias,23,naive_mean,0.14650403195718242,1.2559516613843293,6861,5
heavy_bias,23,rel_wtd_mean,0.14072022488291552,1.207607420839988,6861,5
heavy_bias,23,median,0.1681886053947901,5.745850951478751,6861,5
heavy_bias,23,dempster_shafer,0.16920710237408895,8.236883393018244,6861,5
heavy_bias,23,corr_cluster,0.15874293405794265,1.3573834066883343,6861,5
heavy_bias,23,sugeno,0.1240380052796017,1.028815640263274,6861,5
heavy_bias,47,Choquet(ours),0.12924223096206647,1.0836953695919886,6867,5
heavy_bias,47,naive_mean,0.13025302690308166,1.1319127506561977,6867,5
heavy_bias,47,rel_wtd_mean,0.130864002148767,1.1229178604238363,6867,5
heavy_bias,47,median,0.1405963753966642,3.706469920929139,6867,5
heavy_bias,47,dempster_shafer,0.16669693951908718,4.48347074672485,6867,5
heavy_bias,47,corr_cluster,0.13145110322955061,1.1747752207191124,6867,5
heavy_bias,47,sugeno,0.1309322774218416,1.019649511160214,6867,5
heavy_bias,89,Choquet(ours),0.07046709851846245,0.9062598536306843,6852,5
heavy_bias,89,naive_mean,0.06636357599090514,0.8997070781388125,6852,5
heavy_bias,89,rel_wtd_mean,0.07134500917931859,0.9115007084730183,6852,5
heavy_bias,89,median,0.07640327736471168,2.410884978147288,6852,5
heavy_bias,89,dempster_shafer,0.1615696845318943,3.0481879173979536,6852,5
heavy_bias,89,corr_cluster,0.0600015831097017,0.889499933727898,6852,5
heavy_bias,89,sugeno,0.07624243098732734,0.9084445219724222,6852,5
heavy_bias,137,Choquet(ours),0.11688489485072008,0.7817661787637026,6840,5
heavy_bias,137,naive_mean,0.12211626757479976,0.8336360165384807,6840,5
heavy_bias,137,rel_wtd_mean,0.12007263725838574,0.8189205942642221,6840,5
heavy_bias,137,median,0.13587286282559294,3.2298040064044646,6840,5
